code;client;scenario;garantie;statut;date_debut_prospection;date_signature;nb_modifications;notes
ONTT;Office National du Tourisme Tunisien;03-Administration;Cession + Traite;Finalisation;2026-01-15;;2;Finalise - en cours de signature
MUTUELLE_CIMENTERIE;Mutuelle Cimenterie Enfidha;07-Mutuelle;Engagement solidaire + Traite;Signe;2026-02-01;2026-06-23;1;Valide COMEX - 600K CA potentiel/an
SFAX;Sfax (Region);01-Prive avec Amicale;Cession sur salaire;En cours;2026-04-10;;10;V10 - En negociation
MJ;Amicale du Ministere de la Justice;04-Amicale seule;Cession TC;Finalisation;2026-05-01;2026-07-01;4;Contrat genere
BEN_AROUS;Amicale BenArous;04-Amicale seule;Caution;Finalisation;2026-04-20;2026-06-15;3;Contrat genere
